Month,Advances,Declines,Advance/Decline Ratio
Dec-2007,720,460,1.57
Nov-2007,576,576,1.00
Oct-2007,533,607,0.88
Sep-2007,585,549,1.07
Aug-2007,544,573,0.95
Jul-2007,508,592,0.86
Jun-2007,507,569,0.89
May-2007,507,557,0.91
Apr-2007,556,493,1.13
Mar-2007,478,552,0.87
Feb-2007,397,622,0.64
Jan-2007,499,499,1.00
Dec-2006,456,502,0.91
Nov-2006,422,517,0.81
Oct-2006,452,479,0.94
Sep-2006,462,455,1.02
Aug-2006,496,412,1.20
Jul-2006,403,500,0.81
Jun-2006,402,510,0.79
May-2006,387,533,0.73
Apr-2006,464,440,1.06
Mar-2006,416,467,0.89
Feb-2006,381,485,0.79
Jan-2006,407,457,0.89
Dec-2005,416,430,0.97
Nov-2005,467,376,1.24
Oct-2005,317,533,0.60
Sep-2005,388,470,0.83
Aug-2005,458,389,1.18
Jul-2005,449,384,1.17
Jun-2005,373,439,0.85
May-2005,439,364,1.21
Apr-2005,368,430,0.86
Mar-2005,344,462,0.74
Feb-2005,380,419,0.91
Jan-2005,375,427,0.88
Dec-2004,400,391,1.02
Nov-2004,441,344,1.28
Oct-2004,354,415,0.85
Sep-2004,398,369,1.08
Aug-2004,390,356,1.10
Jul-2004,402,331,1.22
Jun-2004,349,370,0.94
May-2004,329,403,0.82
Apr-2004,399,324,1.23
Mar-2004,319,399,0.80
Feb-2004,310,407,0.76
Jan-2004,290,446,0.65
Dec-2003,409,316,1.30
Nov-2003,382,304,1.26
Oct-2003,321,344,0.93
Sep-2003,286,364,0.78
Aug-2003,374,349,1.07
Jul-2003,351,360,0.97
Jun-2003,381,313,1.22
May-2003,397,280,1.42
Apr-2003,347,289,1.20
Mar-2003,247,413,0.60
Feb-2003,303,361,0.84
Jan-2003,296,378,0.78
Dec-2002,323,357,0.91
Nov-2002,374,297,1.26
Oct-2002,301,369,0.82
Sep-2002,302,419,0.72
Aug-2002,355,376,0.94
Jul-2002,304,464,0.66
Jun-2002,420,345,1.22
May-2002,329,412,0.80
Apr-2002,381,354,1.08
Mar-2002,342,374,0.91
Feb-2002,361,361,1.00
Jan-2002,342,372,0.92
Dec-2001,481,551,0.87
Nov-2001,597,458,1.30
Oct-2001,527,446,1.18
Sep-2001,432,541,0.80
Aug-2001,480,488,0.98
Jul-2001,395,525,0.75
Jun-2001,328,474,0.69
May-2001,426,401,1.06
Apr-2001,372,421,0.88
Mar-2001,318,499,0.64
Feb-2001,405,478,0.85
Jan-2001,399,451,0.89
Dec-2000,424,431,0.99
Nov-2000,455,382,1.19
Oct-2000,352,425,0.83
Sep-2000,365,486,0.75
Aug-2000,419,427,0.98
Jul-2000,413,491,0.84
Jun-2000,448,485,0.92
May-2000,447,485,0.92
Apr-2000,394,583,0.68
